Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
0,1,balekambang,0,0.0,0,0.0,0,0.0,0,160,250,450
1,1,balekambang,0,0.0,0,0.0,0,83.0,0,90,140,330
2,1,balekambang,0,0.0,0,2.0,0,2.0,0,75,90,330
3,1,balekambang,1,66.0,1,74.0,0,85.0,3,170,300,580
4,1,balekambang,1,41.0,1,87.0,0,154.0,2,160,175,620
5,1,balekambang,0,0.0,0,9.0,0,137.0,0,90,80,330
6,1,balekambang,0,0.0,0,0.0,0,20.0,0,80,60,330
7,1,balekambang,1,8.5,1,38.5,0,61.0,1,135,139,420
8,1,balekambang,0,0.0,1,83.0,0,96.0,0,90,75,400
9,1,balekambang,1,9.5,1,24.5,1,93.5,1,105,90,330
10,1,bambu apus,1,8.5,1,38.5,0,61.0,1,135,139,420
11,1,batu ampar,1,66.0,1,74.0,0,85.0,3,170,300,580
12,1,batu ampar,0,0.0,0,35.0,0,35.0,0,110,90,330
13,1,batu ampar,1,8.5,1,38.5,0,61.0,1,135,139,420
14,1,batu ampar,1,2.5,1,128.0,0,209.0,1,125,130,690
15,1,batu ampar,1,31.0,0,72.0,0,157.0,2,125,150,750
16,1,bidara cina,0,0.0,0,0.0,0,0.0,0,160,250,450
17,1,bidara cina,0,0.0,0,2.0,0,2.0,0,75,90,330
18,1,bidara cina,1,45.0,0,81.0,0,81.0,2,155,250,500
19,1,bidara cina,0,0.0,0,0.0,0,22.0,0,85,100,330
20,1,bidara cina,1,41.0,1,87.0,0,154.0,2,160,175,620
21,1,bidara cina,1,5.0,0,6.5,0,10.5,1,105,110,420
22,1,bidara cina,0,0.0,0,9.0,0,137.0,0,90,80,330
23,1,bidara cina,1,21.0,0,15.0,0,15.0,2,100,80,330
24,1,bidara cina,0,0.0,0,0.0,0,20.0,0,80,60,330
25,1,bidara cina,1,2.5,1,128.0,0,209.0,1,125,130,690
26,1,bidara cina,1,31.0,0,72.0,0,157.0,2,125,150,750
27,1,bidara cina,0,0.0,1,83.0,0,96.0,0,90,75,400
28,1,bidara cina,1,2.0,0,11.0,0,91.0,1,120,80,330
29,1,bidara cina,1,9.5,1,24.5,1,93.5,1,105,90,330
