,Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
102,1,halim perdana kusuma,1,39.8,1,26.3,1,101.8,2,115,200,735
179,1,penggilingan,1,9.5,1,24.5,1,93.5,1,105,90,330
92,1,duren sawit,1,66.0,1,74.0,0,85.0,3,170,300,580
14,1,batu ampar,1,2.5,1,128.0,0,209.0,1,125,130,690
106,1,jatinegara,1,50.0,1,26.0,0,53.0,0,165,230,660
71,1,cipinang melayu,1,49.9,1,126.0,0,126.0,3,135,190,331
188,1,pisangan timur,1,31.0,0,72.0,0,157.0,2,125,150,750
20,1,bidara cina,1,41.0,1,87.0,0,154.0,2,160,175,620
102,1,halim perdana kusuma,1,39.8,1,26.3,1,101.8,2,115,200,735
121,1,kampung melayu,1,66.0,1,74.0,0,85.0,3,170,300,580
210,1,rawa bunga,0,0.0,0,0.0,0,22.0,0,85,100,330
214,1,rawa terate,1,2.5,1,128.0,0,209.0,1,125,130,690
74,1,cipinang melayu,1,41.0,1,87.0,0,154.0,2,160,175,620
202,1,pulo gadung,1,9.5,1,24.5,1,93.5,1,105,90,330
87,1,ciracas,1,66.0,1,74.0,0,85.0,3,170,300,580
116,1,kampung melayu,1,45.0,0,81.0,0,81.0,2,155,250,500
99,1,gedong,1,66.0,1,74.0,0,85.0,3,170,300,580
103,1,jati,1,9.5,1,24.5,1,93.5,1,105,90,330
151,1,kebon pala,1,14.0,0,14.0,0,67.0,1,100,60,380
130,1,kampung melayu,0,0.0,1,83.0,0,96.0,0,90,75,400
149,1,kebon manggis,1,9.5,1,24.5,1,93.5,1,105,90,330
52,1,cililitan,1,66.0,1,74.0,0,85.0,3,170,300,580
1,1,balekambang,0,0.0,0,0.0,0,83.0,0,90,140,330
87,1,ciracas,1,66.0,1,74.0,0,85.0,3,170,300,580
157,1,klender,1,2.5,1,128.0,0,209.0,1,125,130,690
37,1,cawang,1,66.0,1,74.0,0,85.0,3,170,300,580
129,1,kampung melayu,1,31.0,0,72.0,0,157.0,2,125,150,750
191,1,pondok bambu,1,2.5,1,128.0,0,209.0,1,125,130,690
187,1,pisangan timur,1,2.5,1,128.0,0,209.0,1,125,130,690
20,1,bidara cina,1,41.0,1,87.0,0,154.0,2,160,175,620
160,1,kramatjati,1,66.0,1,74.0,0,85.0,3,170,300,580
203,1,pulo gadung,1,39.8,1,26.3,1,101.8,2,115,200,735
57,1,cililitan,0,0.0,0,0.0,0,20.0,0,80,60,330
21,1,bidara cina,1,5.0,0,6.5,0,10.5,1,105,110,420
88,1,ciracas,1,8.5,1,38.5,0,61.0,1,135,139,420
48,1,cililitan,0,0.0,0,0.0,0,0.0,0,80,90,330
218,1,rawamangun,1,31.0,0,72.0,0,157.0,2,125,150,750
58,1,cililitan,1,2.5,1,128.0,0,209.0,1,125,130,690
169,1,makasar,1,8.5,1,38.5,0,61.0,1,135,139,420
219,1,susukan,1,2.0,0,0.0,0,136.5,1,100,100,330
187,1,pisangan timur,1,2.5,1,128.0,0,209.0,1,125,130,690
207,1,rambutan,0,0.0,0,35.0,0,35.0,0,110,90,330
14,1,batu ampar,1,2.5,1,128.0,0,209.0,1,125,130,690
189,1,pondok bambu,1,66.0,1,74.0,0,85.0,3,170,300,580
189,1,pondok bambu,1,66.0,1,74.0,0,85.0,3,170,300,580
174,1,malaka sari,0,0.0,0,46.0,0,57.0,0,90,85,330
189,1,pondok bambu,1,66.0,1,74.0,0,85.0,3,170,300,580
50,1,cililitan,1,45.0,0,81.0,0,81.0,2,155,250,500
107,1,jatinegara,1,50.0,1,26.0,0,53.0,0,165,230,660
54,1,cililitan,1,41.0,1,87.0,0,154.0,2,160,175,620
63,1,cipayung,1,66.0,1,74.0,0,85.0,3,170,300,580
130,1,kampung melayu,0,0.0,1,83.0,0,96.0,0,90,75,400
50,1,cililitan,1,45.0,0,81.0,0,81.0,2,155,250,500
134,1,kampung melayu,1,9.5,1,24.5,1,93.5,1,105,90,330
20,1,bidara cina,1,41.0,1,87.0,0,154.0,2,160,175,620
72,1,cipinang melayu,1,66.0,1,74.0,0,85.0,3,170,300,580
166,1,lubang buaya,1,8.5,1,38.5,0,61.0,1,135,139,420
17,1,bidara cina,0,0.0,0,2.0,0,2.0,0,75,90,330
131,1,kampung melayu,0,0.0,1,83.0,0,96.0,0,90,75,400
88,1,ciracas,1,8.5,1,38.5,0,61.0,1,135,139,420
59,1,cililitan,1,31.0,0,72.0,0,157.0,2,125,150,750
13,1,batu ampar,1,8.5,1,38.5,0,61.0,1,135,139,420
8,1,balekambang,0,0.0,1,83.0,0,96.0,0,90,75,400
89,1,dukuh,0,0.0,0,0.0,0,83.0,0,90,140,330
52,1,cililitan,1,66.0,1,74.0,0,85.0,3,170,300,580
129,1,kampung melayu,1,31.0,0,72.0,0,157.0,2,125,150,750
83,1,cipinang muara,0,0.0,0,0.0,0,22.0,0,85,100,330
91,1,dukuh,1,39.8,1,26.3,1,101.8,2,115,200,735
110,1,jatinegara,1,2.5,1,128.0,0,209.0,1,125,130,690
187,1,pisangan timur,1,2.5,1,128.0,0,209.0,1,125,130,690
198,1,pulo gadung,1,2.5,1,128.0,0,209.0,1,125,130,690
171,1,makasar,1,31.0,0,72.0,0,157.0,2,125,150,750
7,1,balekambang,1,8.5,1,38.5,0,61.0,1,135,139,420
174,1,malaka sari,0,0.0,0,46.0,0,57.0,0,90,85,330
34,1,cawang,0,0.0,0,2.0,0,2.0,0,75,90,330
205,1,rambutan,1,49.9,1,126.0,0,126.0,3,135,190,331
80,1,cipinang melayu,1,39.8,1,26.3,1,101.8,2,115,200,735
163,1,kramatjati,1,41.0,1,87.0,0,154.0,2,160,175,620
49,1,cililitan,0,0.0,0,2.0,0,2.0,0,75,90,330
103,1,jati,1,9.5,1,24.5,1,93.5,1,105,90,330
131,1,kampung melayu,0,0.0,1,83.0,0,96.0,0,90,75,400
1,1,balekambang,0,0.0,0,0.0,0,83.0,0,90,140,330
133,1,kampung melayu,1,9.5,1,24.5,1,93.5,1,105,90,330
53,1,cililitan,1,66.0,1,74.0,0,85.0,3,170,300,580
105,1,jatinegara,1,66.0,1,74.0,0,85.0,3,170,300,580
3,1,balekambang,1,66.0,1,74.0,0,85.0,3,170,300,580
53,1,cililitan,1,66.0,1,74.0,0,85.0,3,170,300,580
220,1,susukan,0,0.0,0,9.0,0,137.0,0,90,80,330
190,1,pondok bambu,1,2.0,0,0.0,0,136.5,1,100,100,330
145,1,kayu putih,1,9.5,1,24.5,1,93.5,1,105,90,330
217,1,rawamangun,1,2.5,1,128.0,0,209.0,1,125,130,690
43,1,cawang,1,31.0,0,72.0,0,157.0,2,125,150,750
161,1,kramatjati,1,50.0,1,26.0,0,53.0,0,165,230,660
201,1,pulo gadung,1,2.0,0,11.0,0,91.0,1,120,80,330
189,1,pondok bambu,1,66.0,1,74.0,0,85.0,3,170,300,580
13,1,batu ampar,1,8.5,1,38.5,0,61.0,1,135,139,420
94,1,duren sawit,1,50.0,1,26.0,0,53.0,0,165,230,660
47,1,cililitan,0,0.0,0,0.0,0,83.0,0,90,140,330
14,1,batu ampar,1,2.5,1,128.0,0,209.0,1,125,130,690
199,1,pulo gadung,1,31.0,0,72.0,0,157.0,2,125,150,750
205,1,rambutan,1,49.9,1,126.0,0,126.0,3,135,190,331
214,1,rawa terate,1,2.5,1,128.0,0,209.0,1,125,130,690
189,1,pondok bambu,1,66.0,1,74.0,0,85.0,3,170,300,580
39,1,cawang,1,5.0,0,6.5,0,10.5,1,105,110,420
212,1,rawa bunga,1,31.0,0,72.0,0,157.0,2,125,150,750
207,1,rambutan,0,0.0,0,35.0,0,35.0,0,110,90,330
81,1,cipinang muara,1,6.0,0,8.0,0,37.0,1,75,90,330
110,1,jatinegara,1,2.5,1,128.0,0,209.0,1,125,130,690
52,1,cililitan,1,66.0,1,74.0,0,85.0,3,170,300,580
23,1,bidara cina,1,21.0,0,15.0,0,15.0,2,100,80,330
153,1,kebon pala,1,31.0,0,72.0,0,157.0,2,125,150,750
216,1,rawa terate,1,9.5,1,24.5,1,93.5,1,105,90,330
187,1,pisangan timur,1,2.5,1,128.0,0,209.0,1,125,130,690
123,1,kampung melayu,1,5.0,0,6.5,0,10.5,1,105,110,420
40,1,cawang,0,0.0,0,9.0,0,137.0,0,90,80,330
156,1,kebon pala,1,9.5,1,24.5,1,93.5,1,105,90,330
14,1,batu ampar,1,2.5,1,128.0,0,209.0,1,125,130,690
44,1,cawang,0,0.0,1,83.0,0,96.0,0,90,75,400
64,1,cipayung,1,50.0,1,26.0,0,53.0,0,165,230,660
88,1,ciracas,1,8.5,1,38.5,0,61.0,1,135,139,420
70,1,cipinang melayu,1,6.0,0,8.0,0,37.0,1,75,90,330
8,1,balekambang,0,0.0,1,83.0,0,96.0,0,90,75,400
87,1,ciracas,1,66.0,1,74.0,0,85.0,3,170,300,580
128,1,kampung melayu,1,2.5,1,128.0,0,209.0,1,125,130,690
135,1,kampung melayu,1,39.8,1,26.3,1,101.8,2,115,200,735
215,1,rawa terate,1,31.0,0,72.0,0,157.0,2,125,150,750
62,1,cipayung,0,0.0,0,5.0,0,25.0,0,90,105,330
138,1,kampung tengah,0,0.0,0,35.0,0,35.0,0,110,90,330
80,1,cipinang melayu,1,39.8,1,26.3,1,101.8,2,115,200,735
135,1,kampung melayu,1,39.8,1,26.3,1,101.8,2,115,200,735
162,1,kramatjati,1,47.0,1,103.0,0,182.0,2,175,260,500
162,1,kramatjati,1,47.0,1,103.0,0,182.0,2,175,260,500
32,1,cawang,0,0.0,0,0.0,0,0.0,0,160,250,450
122,1,kampung melayu,1,41.0,1,87.0,0,154.0,2,160,175,620
4,1,balekambang,1,41.0,1,87.0,0,154.0,2,160,175,620
40,1,cawang,0,0.0,0,9.0,0,137.0,0,90,80,330
27,1,bidara cina,0,0.0,1,83.0,0,96.0,0,90,75,400
134,1,kampung melayu,1,9.5,1,24.5,1,93.5,1,105,90,330
200,1,pulo gadung,1,2.0,0,11.0,0,91.0,1,120,80,330
71,1,cipinang melayu,1,49.9,1,126.0,0,126.0,3,135,190,331
11,1,batu ampar,1,66.0,1,74.0,0,85.0,3,170,300,580
161,1,kramatjati,1,50.0,1,26.0,0,53.0,0,165,230,660
32,1,cawang,0,0.0,0,0.0,0,0.0,0,160,250,450
47,1,cililitan,0,0.0,0,0.0,0,83.0,0,90,140,330
150,1,kebon pala,1,66.0,1,74.0,0,85.0,3,170,300,580
61,1,cililitan,1,9.5,1,24.5,1,93.5,1,105,90,330
215,1,rawa terate,1,31.0,0,72.0,0,157.0,2,125,150,750
36,1,cawang,0,0.0,0,79.0,0,232.0,0,120,205,340
98,1,duren sawit,1,2.0,0,11.0,0,91.0,1,120,80,330
171,1,makasar,1,31.0,0,72.0,0,157.0,2,125,150,750
103,1,jati,1,9.5,1,24.5,1,93.5,1,105,90,330
213,1,rawa bunga,1,9.5,1,24.5,1,93.5,1,105,90,330
218,1,rawamangun,1,31.0,0,72.0,0,157.0,2,125,150,750
34,1,cawang,0,0.0,0,2.0,0,2.0,0,75,90,330
192,1,pondok bambu,1,31.0,0,72.0,0,157.0,2,125,150,750
100,1,gedong,1,5.0,0,6.5,0,10.5,1,105,110,420
174,1,malaka sari,0,0.0,0,46.0,0,57.0,0,90,85,330
205,1,rambutan,1,49.9,1,126.0,0,126.0,3,135,190,331
130,1,kampung melayu,0,0.0,1,83.0,0,96.0,0,90,75,400
0,1,balekambang,0,0.0,0,0.0,0,0.0,0,160,250,450
4,1,balekambang,1,41.0,1,87.0,0,154.0,2,160,175,620
217,1,rawamangun,1,2.5,1,128.0,0,209.0,1,125,130,690
141,1,kayu manis,1,50.0,1,26.0,0,53.0,0,165,230,660
102,1,halim perdana kusuma,1,39.8,1,26.3,1,101.8,2,115,200,735
26,1,bidara cina,1,31.0,0,72.0,0,157.0,2,125,150,750
