Kejadian,KELURAHAN,KECAMATAN,LUAS WILAYAH,KETINGGIAN WILAYAH,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,STATUS_CIPINANG HULU,SUNTER HULU,STATUS_SUNTER HULU,PULO GADUNG,STATUS_PULO GADUNG
BANJIR,KAMPUNG MELAYU,Jatinegara,0.48,10,NO,0,NO,0,NO,0,TIDAK HUJAN,160,WASPADA,250,SIAGA,450,NORMAL
BANJIR,BIDARA CINA,Jatinegara,1.26,19,NO,0,NO,0,NO,0,TIDAK HUJAN,160,WASPADA,250,SIAGA,450,NORMAL
BANJIR,BALEKAMBANG,Kramatjati (Kramat Jati),1.67,34,NO,0,NO,0,NO,0,TIDAK HUJAN,160,WASPADA,250,SIAGA,450,NORMAL
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,NO,0,NO,0,NO,0,TIDAK HUJAN,160,WASPADA,250,SIAGA,450,NORMAL
BANJIR,KAMPUNG TENGAH,Kramatjati (Kramat Jati),2.03,28,NO,0,NO,0,NO,83,TIDAK HUJAN,90,NORMAL,140,NORMAL,330,NORMAL
BANJIR,DUKUH,Kramatjati (Kramat Jati),1.98,39,NO,0,NO,0,NO,83,TIDAK HUJAN,90,NORMAL,140,NORMAL,330,NORMAL
BANJIR,BALEKAMBANG,Kramatjati (Kramat Jati),1.67,34,NO,0,NO,0,NO,83,TIDAK HUJAN,90,NORMAL,140,NORMAL,330,NORMAL
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,NO,0,NO,0,NO,83,TIDAK HUJAN,90,NORMAL,140,NORMAL,330,NORMAL
BANJIR,CAWANG,Kramatjati (Kramat Jati),1.79,21,NO,0,NO,0,NO,83,TIDAK HUJAN,90,NORMAL,140,NORMAL,330,NORMAL
BANJIR,RAMBUTAN,Ciracas,2.09,34,NO,0,NO,0,NO,83,TIDAK HUJAN,90,NORMAL,140,NORMAL,330,NORMAL
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,NO,0,NO,0,NO,0,TIDAK HUJAN,80,NORMAL,90,NORMAL,330,NORMAL
BANJIR,CILILITAN,Kramatjati (Kramat Jati),1.8,26,NO,0,NO,2,NO,2,TIDAK HUJAN,75,NORMAL,90,NORMAL,330,NORMAL
