Kejadian,KELURAHAN,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
BANJIR,BALEKAMBANG,NO,0,NO,0,NO,0,TIDAK HUJAN,160,250,450
BANJIR,BALEKAMBANG,NO,0,NO,0,NO,83,TIDAK HUJAN,90,140,330
BANJIR,BALEKAMBANG,NO,0,NO,2,NO,2,TIDAK HUJAN,75,90,330
BANJIR,Balekambang,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,BALEKAMBANG,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,BALEKAMBANG,NO,0,NO,9,NO,137,TIDAK HUJAN,90,80,330
BANJIR,BALEKAMBANG,NO,0,NO,0,NO,20,TIDAK HUJAN,80,60,330
BANJIR,BALEKAMBANG,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,BALEKAMBANG,NO,0,YES,83,NO,96,TIDAK HUJAN,90,75,400
BANJIR,BALEKAMBANG,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,BAMBU APUS,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,Batu Ampar,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,BATU AMPAR,NO,0,NO,35,NO,35,TIDAK HUJAN,110,90,330
BANJIR,BATU AMPAR,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,BATU AMPAR,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,BATU AMPAR,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,BIDARA CINA,NO,0,NO,0,NO,0,TIDAK HUJAN,160,250,450
BANJIR,BIDARA CINA,NO,0,NO,2,NO,2,TIDAK HUJAN,75,90,330
BANJIR,BIDARA CINA,YES,45,NO,81,NO,81,HUJAN SEDANG,155,250,500
BANJIR,BIDARA CINA,NO,0,NO,0,NO,22,TIDAK HUJAN,85,100,330
BANJIR,BIDARA CINA,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,BIDARA CINA,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,110,420
BANJIR,BIDARA CINA,NO,0,NO,9,NO,137,TIDAK HUJAN,90,80,330
BANJIR,BIDARA CINA,YES,21,NO,15,NO,15,HUJAN SEDANG,100,80,330
BANJIR,BIDARA CINA,NO,0,NO,0,NO,20,TIDAK HUJAN,80,60,330
BANJIR,BIDARA CINA,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,BIDARA CINA,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,BIDARA CINA,NO,0,YES,83,NO,96,TIDAK HUJAN,90,75,400
BANJIR,BIDARA CINA,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,BIDARA CINA,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,CAKUNG TIMUR,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,CAKUNG TIMUR,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,CAWANG,NO,0,NO,0,NO,0,TIDAK HUJAN,160,250,450
BANJIR,CAWANG,NO,0,NO,0,NO,83,TIDAK HUJAN,90,140,330
BANJIR,CAWANG,NO,0,NO,2,NO,2,TIDAK HUJAN,75,90,330
BANJIR,CAWANG,YES,19.3,YES,14.8,YES,147,HUJAN RINGAN,110,120,331
BANJIR,CAWANG,NO,0,NO,79,NO,232,TIDAK HUJAN,120,205,340
BANJIR,Cawang,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,CAWANG,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,CAWANG,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,110,420
BANJIR,CAWANG,NO,0,NO,9,NO,137,TIDAK HUJAN,90,80,330
BANJIR,CAWANG,NO,0,NO,0,NO,20,TIDAK HUJAN,80,60,330
BANJIR,CAWANG,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,CAWANG,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,CAWANG,NO,0,YES,83,NO,96,TIDAK HUJAN,90,75,400
BANJIR,CAWANG,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,CAWANG,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,CILILITAN,NO,0,NO,0,NO,83,TIDAK HUJAN,90,140,330
BANJIR,CILILITAN,NO,0,NO,0,NO,0,TIDAK HUJAN,80,90,330
BANJIR,CILILITAN,NO,0,NO,2,NO,2,TIDAK HUJAN,75,90,330
BANJIR,CILILITAN,YES,45,NO,81,NO,81,HUJAN SEDANG,155,250,500
BANJIR,CILILITAN,NO,0,NO,79,NO,232,TIDAK HUJAN,120,205,340
BANJIR,Cililitan,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,CILILITAN,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,CILILITAN,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,CILILITAN,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,110,420
BANJIR,CILILITAN,NO,0,NO,9,NO,137,TIDAK HUJAN,90,80,330
BANJIR,CILILITAN,NO,0,NO,0,NO,20,TIDAK HUJAN,80,60,330
BANJIR,CILILITAN,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,CILILITAN,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,CILILITAN,NO,0,YES,83,NO,96,TIDAK HUJAN,90,75,400
BANJIR,CILILITAN,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,CIPAYUNG,NO,0,NO,5,NO,25,TIDAK HUJAN,90,105,330
BANJIR,CIPAYUNG,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,CIPAYUNG,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,CIPAYUNG,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,CIPINANG,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,CIPINANG CEMPEDAK,NO,0,NO,0,NO,22,TIDAK HUJAN,85,100,330
BANJIR,CIPINANG CEMPEDAK,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,CIPINANG CEMPEDAK,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,CIPINANG MELAYU,YES,6,NO,8,NO,37,HUJAN RINGAN,75,90,330
BANJIR,CIPINANG MELAYU,YES,49.9,YES,126,NO,126,HUJAN LEBAT,135,190,331
BANJIR,CIPINANG MELAYU,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,CIPINANG MELAYU,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,CIPINANG MELAYU,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,CIPINANG MELAYU,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,CIPINANG MELAYU,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,CIPINANG MELAYU,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,CIPINANG MELAYU,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,CIPINANG MELAYU,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,CIPINANG MELAYU,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,CIPINANG MUARA,YES,6,NO,8,NO,37,HUJAN RINGAN,75,90,330
BANJIR,CIPINANG MUARA,YES,49.9,YES,126,NO,126,HUJAN LEBAT,135,190,331
BANJIR,CIPINANG MUARA,NO,0,NO,0,NO,22,TIDAK HUJAN,85,100,330
BANJIR,CIPINANG MUARA,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,CIPINANG MUARA,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,CIRACAS,NO,0,NO,5,NO,25,TIDAK HUJAN,90,105,330
BANJIR,CIRACAS,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,CIRACAS,YES,8.5,YES,38.5,NO,61,HUJAN RINGAN,135,139,420
BANJIR,DUKUH,NO,0,NO,0,NO,83,TIDAK HUJAN,90,140,330
BANJIR,Dukuh,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,DUKUH,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,DUREN SAWIT,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,DUREN SAWIT,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,DUREN SAWIT,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,DUREN SAWIT,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,100,330
BANJIR,DUREN SAWIT,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,DUREN SAWIT,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,DUREN SAWIT,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,GEDONG,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,GEDONG,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,110,420
BANJIR,GEDONG,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,HALIM PERDANA KUSUMA,YES,39.8,YES,26.3,YES,101.8,HUJAN SEDANG,115,200,735
BANJIR,JATI,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,JATINEGARA,NO,0,NO,5,NO,25,TIDAK HUJAN,90,105,330
BANJIR,JATINEGARA,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,JATINEGARA,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,JATINEGARA,YES,50,YES,26,NO,53,TIDAK HUJAN,165,230,660
BANJIR,JATINEGARA,YES,47,YES,103,NO,182,HUJAN SEDANG,175,260,500
BANJIR,JATINEGARA,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,JATINEGARA,YES,2.5,YES,128,NO,209,HUJAN RINGAN,125,130,690
BANJIR,JATINEGARA,YES,31,NO,72,NO,157,HUJAN SEDANG,125,150,750
BANJIR,JATINEGARA,YES,2,NO,11,NO,91,HUJAN RINGAN,120,80,330
BANJIR,JATINEGARA,YES,9.5,YES,24.5,YES,93.5,HUJAN RINGAN,105,90,330
BANJIR,KAMPUNG MELAYU,NO,0,NO,0,NO,0,TIDAK HUJAN,160,250,450
BANJIR,KAMPUNG MELAYU,NO,0,NO,2,NO,2,TIDAK HUJAN,75,90,330
BANJIR,KAMPUNG MELAYU,YES,45,NO,81,NO,81,HUJAN SEDANG,155,250,500
BANJIR,KAMPUNG MELAYU,YES,19.3,YES,14.8,YES,147,HUJAN RINGAN,110,120,331
BANJIR,KAMPUNG MELAYU,YES,49.9,YES,126,NO,126,HUJAN LEBAT,135,190,331
BANJIR,KAMPUNG MELAYU,NO,0,NO,79,NO,232,TIDAK HUJAN,120,205,340
BANJIR,KAMPUNG MELAYU,NO,0,NO,0,NO,22,TIDAK HUJAN,85,100,330
BANJIR,KAMPUNG MELAYU,YES,66,YES,74,NO,85,HUJAN LEBAT,170,300,580
BANJIR,KAMPUNG MELAYU,YES,41,YES,87,NO,154,HUJAN SEDANG,160,175,620
BANJIR,KAMPUNG MELAYU,YES,5,NO,6.5,NO,10.5,HUJAN RINGAN,105,110,420
BANJIR,KAMPUNG MELAYU,YES,2,NO,0,NO,136.5,HUJAN RINGAN,100,100,330
